county,population,cases,rate_2023,rate_5yr_avg,svi_overall,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transport,cluster
Apache,66054,46,68.7,44.9,0.9286,0.7857,1.0,0.9286,0.8571,3
Cochise,125504,62,48.7,48.6,0.6429,0.2857,0.6429,0.3571,0.7143,2
Coconino,144705,81,53.7,32.9,0.5,0.6429,0.0,0.5,0.9286,2
Gila,53419,57,105.9,103.0,0.3571,0.5714,0.1429,0.1429,0.5,2
Graham,38453,21,53.0,56.9,0.3571,0.2857,0.2143,0.5714,0.5714,2
Greenlee,9483,7,72.4,20.5,0.0714,0.0,0.3571,0.7143,0.0714,2
La Paz,16681,24,142.1,124.5,0.7143,0.8571,0.9286,0.2143,0.4286,1
Maricopa,4430871,7993,171.3,164.1,0.2143,0.2143,0.2857,0.4286,0.2857,1
Mohave,214229,131,58.4,63.9,0.2857,0.5,0.4286,0.0714,0.3571,2
Navajo,107110,72,65.6,51.1,0.8571,0.7143,0.7143,0.7857,0.7857,3
Pima,1042393,1282,118.7,121.1,0.5714,0.4286,0.5,0.6429,0.6429,2
Pinal,433338,995,212.9,200.6,0.1429,0.1429,0.5714,0.2857,0.2143,1
Santa Cruz,47838,24,48.0,50.6,0.7857,1.0,0.7857,1.0,0.1429,3
Yavapai,237830,137,55.0,43.2,0.0,0.0714,0.0714,0.0,0.0,2
Yuma,204374,58,27.1,23.7,1.0,0.9286,0.8571,0.8571,1.0,3
